Nice product,It's a nice watch of Fastrack. Amazon delivery before delivery date it's very good.
No Title,None
Five Stars,Suppppeeer and fast delivery
Five Stars,Nice product I satisfied  to your product thanks
Not what actually in this image in real,Not what actually in this image in real
Not cost effective,"I purchased it from shop .same model but the watch lasted for only an year, after that its battrey died . Also its water proofing is not good. Got water inside on the very first monsoon"
Five Stars,Using this from last 6 years...changed its cell's last year...its awsm...value for money...very durable
Three Stars,Super
Five Stars,Nice watch
No Title,None
No Title,None
But packaging is very bad.,Product is average. But packaging is very bad.
Five Stars,All are good
Four Stars,Good looking watch
Five Stars,Superb watch....
Nice Watch,As expected.. nice watch. Loved it. I will suggest Amazon for online shopping. Delivered on time.  Thanks to Amazon for nice watch.
Five Stars,Very nice product.
No Title,None
Five Stars,Super
Excellent and genuine product..,Its my two years dream to buy.. I got it now. It looks so attractive for both formal and casual wear. Its really genuine product.
