Led,Good Product
Great product,great product
Perfect item,Delivery and installation on time I m happy this product
Gud but you make some dumb of people,Gud but you make some dumb of people
Nice product,It is very nice product
Yes I will recommend this product,Yes I will recommend this product
,Good one
Good Budget,Average screen size good sound picture quality Good in medium budget range
Best service by,Good picture quality but sound quality of speaker not Best but rest
Good Product,very good picture sound nice value for money
led k,led k good
prefect product by,good in this product is and remote sensor is very good quality
Nice one,are also you record directly on pen drive with a tap on remote
k led,PICTURE QUALITY IS GOOD BUT SOUND ONLY BELOW FOR EXPECTATION SNAP DEAL BEFORE THE DELIVERY DATE AND ALSO IS VERY PERFECT GOOD FOR THIS PRICE RANGE IN LED
Good Product,satisfactory
Good product,Good product value for money
Medium good,Not good according brand
Nice one Good price,Need warranty support
Good price,is good but video clarity is bad sound is good good price range thanks for
